agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gpt-5-mini-v_low-r_minimal,all,1,numeric,noisy_or,4,,lr0p1,72d323d2f63a3329ebf6e98a8d3cf5ee1a6983212240848c7c5be7b7391399dc,72d323d2f63a,5f0a1b055ed73b18b0fafce1bdc60e8f30a756df47c2a77b9d0d6ed01444c4cc,5f0a1b055ed7,0.8570723364396939,0.8570723364396939,0.9626681754786615,0.035546523984917255,0.12450680881738663,-1739.7297378654375,-1723.0345934498298,0.06955296969669025,,0.2470250129699707,0.4008435904979706,0.584797203540802,0.4414306879043579,0.4414306879043579
claude-3-7-sonnet-20250219,all,1,numeric,noisy_or,3,,lr0p1,d0e3320dbce965ce25cd0c985aa5f529844f7d16699832e8dfb74d266579c6e3,d0e3320dbce9,c9a0b1409bfcd1343d90ed9893bbc0b14a3e1b6112f0586027d72301e8a9ed64,c9a0b1409bfc,0.8487050789123444,0.8487050789123444,0.9275212774272289,0.08127012771991884,0.1271367371082306,-1710.84340908221,-1698.3220507705041,0.11741885786517861,,0.07254170626401901,0.7720580697059631,0.7720580697059631,0.4890347123146057,0.4890347123146057
gpt-5-v_low-r_minimal,all,1,numeric,noisy_or,3,,lr0p1,35219558b50e6db798dc231f33189e472bb9e399d0ec89c9a979fe95dc08930b,35219558b50e,fe9ae731a1fc34bad5a21ed4083935d27861f457d6cfebb663a58e5a101358df,fe9ae731a1fc,0.6570790040709992,0.6570790040709992,0.8880172156565843,0.08900830297577324,0.13133296370506287,-1742.1375887460852,-1729.6162304343793,0.15575856173163502,,0.2470758557319641,0.678259551525116,0.678259551525116,0.43491998314857483,0.43491998314857483
claude-3-opus,all,1,numeric,noisy_or,4,,lr0p1,5f6c142d692d814e2ea08bbd1671e23f0b5ddcca576afa5eea29812f51d1f70a,5f6c142d692d,df8919c55d411cafaafee887d7f327305e7bb2cda84b141bd1d09e8d4b844f8e,df8919c55d41,0.6538273887478738,0.6538273887478738,0.9288484251447877,0.047275260207475724,0.10149485617876053,-1990.0727650934593,-1973.3776206778516,0.10427687830503322,,0.3539326786994934,0.40621381998062134,0.7559629678726196,0.531538724899292,0.531538724899292
claude-3-5-haiku-20241022,all,1,numeric,noisy_or,4,,lr0p1,a2c98c8d0984171875ba8da82dfea47c035f98dde6091dbfb3c5bf02adac5cf8,a2c98c8d0984,ed913dfc035db6671b191a8252a863be1743349d19dbab7acebbd1c79c34d019,ed913dfc035d,0.6282341399846845,0.6282341399846845,0.80989730433653,0.07255285711888546,0.10265909880399704,-1919.7443198622266,-1903.0491754466188,0.10146006460490006,,0.2955995798110962,0.3215583562850952,0.6935649514198303,0.6928858757019043,0.6928858757019043
claude-3-haiku-20240307,all,1,numeric,noisy_or,3,,lr0p1,b9d11e7f38aff89b2fada12edff21faac3353cfd9ef7a6d408d1c48b8e9fb983,b9d11e7f38af,770725ca2ab20dcc94d93d56a66b2c7913c3180cc33dad34de92e0c550df9224,770725ca2ab2,0.5517688922995192,0.5517688922995192,0.7096513416031116,0.08653505928433235,0.11959806829690933,-1689.3533898967942,-1676.8320315850883,0.10751849596829052,,0.45782727003097534,0.5268186926841736,0.5268186926841736,0.7099160552024841,0.7099160552024841
gpt-3.5-turbo,all,1,numeric,noisy_or,3,,lr0p1,05bddbfa9881bbcd06fc3d7ee280befa8ff9fa509a3b9656015c64dc93c6f5b1,05bddbfa9881,f758eb82ee93711ff05638d1f2f04538148f24693b1dd47f4e88af384a53aff0,f758eb82ee93,0.5356476459868784,0.5356476459868784,0.7348800673625817,0.04773740068775329,0.0785369724035263,-2257.114138460527,-2244.5927801488215,0.06317734970769495,,0.6202605366706848,0.38740792870521545,0.38740792870521545,0.7217575311660767,0.7217575311660767
gpt-5-nano-v_low-r_minimal,all,1,numeric,noisy_or,3,,lr0p1,04c5bb4db7414ffde0129f2baf13a6a6d1e3ae9c2b5fdfdd66fb8517e40871ff,04c5bb4db741,32d60162377d345a6a779d5699fb914fb41ca42eff31cb1d335a38e7a979725a,32d60162377d,0.5098498489207755,0.5098498489207755,0.6997065030726347,0.054965095464727186,0.1658475548028946,-1440.589931500421,-1428.0685731887152,0.07022287295805076,,0.4160119891166687,0.26015472412109375,0.26015472412109375,0.4871479570865631,0.4871479570865631
gpt-4,all,1,numeric,noisy_or,4,,lr0p1,07823b79ffe063c403dd6054808884b645c6a694918bc8391ba456e05920fcbb,07823b79ffe0,9a1cac3ac9a4acfcf1dfd78bf2d7bc20455c70e3efe8bac4bc9a917559cf6178,9a1cac3ac9a4,0.3896383147646483,0.3896383147646483,0.8629888183038595,0.07521413730708196,0.11701563000679016,-1737.964082844489,-1721.2689384288813,0.15875050090396028,,0.28016194701194763,0.3791508078575134,0.8597188591957092,0.5198962688446045,0.5198962688446045
gemini-2.5-flash-lite,all,1,numeric,noisy_or,3,,lr0p1,7b827df69b84e7d377c606a721ebe8376a6a047e5ba3b90449b3c0eaac4a9ebb,7b827df69b84,deaaf4cf319a19d575e6a1f728e99112af71c225f2975171f7702f838b34b47c,deaaf4cf319a,0.31297883910216984,0.31297883910216984,0.587778341041635,0.1612622806757351,0.2334519326686859,-1197.0287699812445,-1184.51993778377,0.20818644593726243,,0.36056196689605713,0.496818482875824,0.496818482875824,0.48095470666885376,0.48095470666885376
