agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
claude-3-opus,all,2,CoT,noisy_or,3,,lr0p1,d299690c09dfeddbd5b2aaf9dca046b1c1b6cdf1f4fccba4bce5fbb06158d420,d299690c09df,ca2e23260adb4c0f098faf89c604df042947c57ac779fb64ba85ae57fbb265a0,ca2e23260adb,0.9504251541156866,0.9504251541156866,0.9712880957294331,0.03723606719946784,0.07498582452535629,-1079.465008091201,-1069.0230913211751,0.04892867928053342,,0.2215522974729538,0.6107074618339539,0.6107074618339539,0.4721401333808899,0.4721401333808899
o3-mini,all,2,CoT,noisy_or,3,,lr0p1,973fe997545e726ad18c0465022d3a79376629560b91df1cf0bfe59735a8c1cb,973fe997545e,48c7f569a7ab22e972d2f9f82d96102b25997238c29b8c7e8ce8189a88b99147,48c7f569a7ab,0.9485411194198378,0.9485411194198378,0.9707449904177461,0.06062183904687992,0.06865544617176056,-1104.6887213247464,-1094.2468045547205,0.08040057450797959,,0.08425670862197876,0.937006413936615,0.937006413936615,0.452280730009079,0.452280730009079
gpt-4o,all,2,CoT,noisy_or,3,,lr0p1,d5de95f34341c6066d39d9cd39921edc8a171caa2efcdf7cc9e225fa9d4cec9d,d5de95f34341,89563fd9efa6cfc6e86bddf3eab642a0af4ecb09f0331199e8fa72227a99befd,89563fd9efa6,0.9459757297953403,0.9459757297953403,0.9678107444877642,0.053865007813201686,0.07009134441614151,-1151.3539433618776,-1140.9120265918516,0.06978237004756013,,0.13451863825321198,0.8021420836448669,0.8021420836448669,0.4384683072566986,0.4384683072566986
o3,all,2,CoT,noisy_or,3,,lr0p1,84a102d0a83c02692e2cc9ddc1e0bb81f2247a8aa801dfe09143d1c8d1b07cb0,84a102d0a83c,02a936c68e9c5eac7b1add3c4d9a4e2d8dfe739c1bd82f51c0b4941f45a31ec6,02a936c68e9c,0.9362081831143267,0.9362081831143267,0.9640773259543091,0.05219481587448761,0.07325363904237747,-1137.2466045476197,-1126.9063924326208,0.06955454707301777,,0.1384715884923935,0.7438223958015442,0.7438223958015442,0.40436989068984985,0.40436989068984985
gpt-5-v_low-r_low,all,2,CoT,noisy_or,3,,lr0p1,911f334ec0c1ed6f6dec26c8769328785756bfa6f43b309bd85bde3d4a612ea8,911f334ec0c1,8945773e8c15de428af0b79bd4ad9f872960d781d6eb06f1a8ad6902f2695dae,8945773e8c15,0.9311288999539918,0.9311288999539918,0.9663515137396349,0.04816272744608713,0.07692978531122208,-1146.2105511980508,-1135.7686344280248,0.0689043780713059,,0.18393705785274506,0.7388673424720764,0.7388673424720764,0.43689510226249695,0.43689510226249695
gpt-4.1-mini,all,2,CoT,noisy_or,3,,lr0p1,4da6fd22c17ab3318d2451659a8b638800e7df66b04a1f54ffc9b967b1718c3e,4da6fd22c17a,c3bdccd4ae516ecee7e300626a3e4ffbbc8eeda3024ea6536363a8ff64944d11,c3bdccd4ae51,0.9243469646946332,0.9243469646946332,0.9595535442220918,0.061650539094377614,0.06850002706050873,-1152.1842631248187,-1141.7548724690241,0.08431596627091581,,0.11181502044200897,0.817893922328949,0.817893922328949,0.41549935936927795,0.41549935936927795
gpt-5-nano-v_low-r_minimal,all,2,CoT,noisy_or,3,,lr0p1,e5d42c4b11d535f1218557be397299eca40cc8b4f4b878f1ccf4e0d6ff96bbb4,e5d42c4b11d5,ea117cb2dc3812f0a914a4299d58b15d85e1678676ac4228354ed8b8de0f3987,ea117cb2dc38,0.9222420625519986,0.9222420625519986,0.9686537860168943,0.029002845653117965,0.09079934656620026,-1034.0821270897648,-1023.6402103197388,0.045679404179169526,,0.32504838705062866,0.4547234773635864,0.4547234773635864,0.44146445393562317,0.44146445393562317
gpt-5-mini-v_low-r_medium,all,2,CoT,noisy_or,3,,lr0p1,3f625673fe7354b9e35dd9545d982e268c8a553282edc678d21ceebcdffec097,3f625673fe73,45d7452842c2e033fb88e2f8efaa2e19c545109d7b00ed6ba998bee0f34543f8,45d7452842c2,0.9151569433382404,0.9151569433382404,0.955246463984632,0.06029808273067408,0.07582112401723862,-1137.9288173058858,-1127.5246368824803,0.08302291526001293,,0.12670794129371643,0.7625839710235596,0.7625839710235596,0.4130774438381195,0.4130774438381195
gpt-4,all,2,CoT,noisy_or,4,,lr0p1,9c825cb4597a551c4ab2a42e1670c00aa3f4a10190abad1249a6785c8bf74f29,9c825cb4597a,e57d26f9a8bf2eb515ccb546f2c0ba88b23de67952a1f2430334878a9d83f475,e57d26f9a8bf,0.9129279206638354,0.9129279206638354,0.9760523145511554,0.034823797838035235,0.06372014433145523,-1156.325788133216,-1142.4032324398481,0.06640240639757403,,0.1624583750963211,0.4875207543373108,0.7513803243637085,0.46946579217910767,0.46946579217910767
claude-3-sonnet-20240229,all,2,CoT,noisy_or,3,,lr0p1,449f135a02b92ffabe837132282c8086d32d2f90301587f4b236b072ceeb588b,449f135a02b9,bbf2573ab449338a7ccf8f38bcf92febec8cbb1ceabebf2766972c54104402cc,bbf2573ab449,0.9117101577591377,0.9117101577591377,0.9443310220917401,0.04720488687100024,0.0979333370923996,-970.1384978118925,-959.709107156098,0.059447789121820395,,0.28743165731430054,0.5591346025466919,0.5591346025466919,0.5085479617118835,0.5085479617118835
