agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gemini-2.5-pro,numeric,,0.0325301699340343,huber,0.0148217249661684,0.049317467957735,0.9838817205583764,0.0131249836621175,0.9988974965701092,0.0044158384902402,-1438.5489233722114,-1428.1070066021855,0.0221230071338761,0.0152909607387317,0.9968676468084884,0.0159879318341085,0.0092206892311205,-0.0074527599805768,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:34:58.221086+00:00,0.5055516958236694,0.4872066974639892,0.5055516958236694,0.4872066974639892,,,,,,,0.5037974119186401,0.0146554177626967,0.5437019467353821,0.9998225569725036,0.5437019467353821,0.9998225569725036
claude-3-5-haiku-20241022,CoT,,0.0250299219042062,huber,0.1555712521076202,0.1882375925779342,0.4996753005559896,0.0498239659978767,0.9436725897241006,0.0156739011406898,-795.6241522157931,-785.1822354457671,0.074167160937801,0.0648581439798528,0.8751850794665194,0.035974837331979,0.0410873001272028,-0.0103798523093714,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:38:59.515110+00:00,0.5121279954910278,0.6117966175079346,0.5121279954910278,0.6117966175079346,,,,,,,0.4838784635066986,0.2107987850904464,0.4927954077720642,0.6089078187942505,0.4927954077720642,0.6089078187942505
claude-3-7-sonnet-20250219,CoT,,0.0184401478618383,huber,0.0667150169610977,0.0870142430067062,0.9164884937155054,0.0561662837261194,0.9671597310542488,0.0433648988604545,-1166.0080864732538,-1155.5661697032278,0.0835901332964704,0.0693373614188396,0.9272613289918604,0.0466866222380127,0.0424917061220515,0.013495500069676,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:39:21.711978+00:00,0.5055516958236694,0.4348385632038116,0.5055516958236694,0.4348385632038116,,,,,,,0.5037974119186401,0.0856780931353569,0.5437019467353821,0.7938202619552612,0.5437019467353821,0.7938202619552612
claude-3-haiku-20240307,CoT,,0.0374610796570777,huber,0.1734570115804672,0.2172140330076217,0.1816627671719055,0.0649619021540669,0.7378324336209809,0.0021148651838302,-726.8986006273259,-716.4566838572999,0.0832343420741414,0.0624934662472118,0.5696056614761771,0.0549774715399297,0.004329257661646,-0.0039754242608042,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:39:47.705824+00:00,0.5121279954910278,0.701863169670105,0.5121279954910278,0.701863169670105,,,,,,,0.4838784635066986,0.5723683834075928,0.4927954077720642,0.481421411037445,0.4927954077720642,0.481421411037445
claude-3-opus,CoT,,0.015592155046761,huber,0.1181263104081153,0.1608048230409622,0.5094481016276631,0.0586773669908504,0.910301429508177,0.0420280590653419,-871.2306807788511,-860.7887640088252,0.0819523185918851,0.0659931834900017,0.8250287143442403,0.0485909688670724,0.0343238344698241,-0.0205742418766021,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:40:10.308857+00:00,0.5121279954910278,0.4918975234031677,0.5121279954910278,0.4918975234031677,,,,,,,0.4838784635066986,0.2363611161708831,0.4927954077720642,0.524487316608429,0.4927954077720642,0.524487316608429
claude-opus-4-1-20250805,CoT,,0.0005042784032411,huber,5.2094459533691406e-05,5.252806295175105e-05,,5.252806216749305e-05,,5.2094459533691406e-05,-33.416652054776876,-37.33721051309704,0.0636470312349102,0.0636141300201416,,0.0020462274551391,0.0636141300201416,0.0020462274551391,2,2,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,2,2,2025-08-31T13:40:30.883939+00:00,0.4699035882949829,0.4999546408653259,0.4699035882949829,0.4999546408653259,,,,,,,0.5169669389724731,0.996216118335724,0.4875771999359131,0.116559162735939,0.4875771999359131,0.116559162735939
claude-opus-4-20250514,CoT,,0.0005214055418036,huber,4.3769676267402247e-05,4.453201108844951e-05,,5.024558424665968e-05,,4.376967748006184e-05,-114.23162764307868,-114.8563492353945,0.0379090967312297,0.0219469169775644,,0.0309100703680471,0.0218266546726226,0.0218266546726226,3,6,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,2,2,2025-08-31T13:40:31.869111+00:00,0.4699035882949829,0.4999446272850036,0.4699035882949829,0.4999446272850036,,,,,,,0.5169669389724731,0.9966865181922911,0.4875771999359131,0.1194593831896781,0.4875771999359131,0.1194593831896781
claude-sonnet-4-20250514,CoT,,0.0108230197802186,huber,0.0490530095994472,0.0667395517230033,0.9389071402566174,0.0390915494332273,0.9803079037684737,0.0212561048567295,-1293.339588336509,-1282.897671566483,0.0572090307594312,0.0455248061454657,0.9578249717896414,0.03464628733142,0.0131915816755005,-0.0131915816755005,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:40:34.239768+00:00,0.5055516958236694,0.4575921595096588,0.5055516958236694,0.4575921595096588,,,,,,,0.5037974119186401,0.1666163504123687,0.5437019467353821,0.779364287853241,0.5437019467353821,0.779364287853241
gemini-1.5-pro,CoT,,0.0205796491354703,huber,0.0902793630957603,0.1288195252418518,0.8336043483638133,0.0486946619853845,0.9743849796654278,0.0128774106502532,-977.6845630091234,-967.2426462390974,0.0710908840573504,0.0601732938127084,0.945404124334206,0.0378561554807816,0.0215051986502878,-0.0122928709243283,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:40:58.167204+00:00,0.5055516958236694,0.424898236989975,0.5055516958236694,0.424898236989975,,,,,,,0.5037974119186401,0.1499460786581039,0.5437019467353821,0.8196136355400085,0.5437019467353821,0.8196136355400085
gemini-2.5-flash,CoT,,0.0302944835275411,huber,0.0317434407770633,0.0557571724057197,0.9781191878176084,0.0246232123854873,0.9958345043127816,0.0043222082173849,-1344.9986485147288,-1334.6326851686556,0.0361434928911899,0.0316022331875492,0.9910249374096464,0.01753998106998,0.0060301252565711,-0.0025518565545172,11,234,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:41:24.953207+00:00,0.5055516958236694,0.4788229167461395,0.5055516958236694,0.4788229167461395,,,,,,,0.5037974119186401,0.0316180437803268,0.5437019467353821,0.9801608920097352,0.5437019467353821,0.9801608920097352
gemini-2.5-flash-lite,CoT,,0.0207558628171682,huber,0.0751900523900985,0.1047303155064582,0.8945766806209727,0.0377303602537536,0.9863099268115256,0.0312039798510999,-1040.9541170051657,-1030.6139048901669,0.0578834377979704,0.0491523727903634,0.9677794823956632,0.0305701916969562,0.0454357634568627,0.0263062411766031,11,232,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:42:07.813872+00:00,0.5055516958236694,0.4507974684238434,0.5055516958236694,0.4507974684238434,,,,,,,0.5037974119186401,0.1589100956916809,0.5437019467353821,0.8744737505912781,0.5437019467353821,0.8744737505912781
