s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
8;economy;B;mmp;F;XorY=1,Z=0(Y?);1;13;11,59;50;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;D;XorY=1,Z=?(Y?);1;14;5,06;50;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;E;XorY=0,Z=?(X?);1;15;11,47;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;G;XorY=?,Z=0(Y?);1;16;5,5;50;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;F;XorY=1,Z=0(X?);1;17;3,9;50;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;G;XorY=?,Z=0(X?);1;18;2,03;50;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;C;XorY=0,Z=1(Y?);1;19;19,39;100;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
8;economy;B;mmp;C;XorY=0,Z=1(X?);1;20;4,45;100;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;H;XorY=0,Z=0(Y?);1;1;11,54;15;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;D;XorY=1,Z=?(X?);1;2;8,51;65;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;E;XorY=0,Z=?(X?);1;3;11,04;5;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;H;XorY=0,Z=0(X?);1;4;6,1;0;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;K;p(C|2E)/v11;1;5;7,58;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;J;p(C|1E)[Y]/v01;1;6;7,85;70;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;J;p(C|1E)[X]/v10;1;7;3,35;65;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
14;economy;A;ppp;B;XorY=?,Z=1(X?);1;8;8,62;95;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
