s;domain;diagram;attr.polarity;letter.type;study.type;trial;rt;y;type;aggr.type;betw.factors;task
3;weather;b;mmp;J;Z|X=1,Y=0;12;4,235;60;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;G;Y|Z=0;13;3,547;10;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;J;Z|X=0,Y=1;14;3,26;65;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;I;Z|X=0,Y=0;15;3,659;20;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;F;Y|X=1,Z=0;16;7,043;20;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;C;Y|X=0,Z=1;17;8,163;70;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;A;Y|X=1,Z=1;18;3,595;50;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
3;weather;b;mmp;B;Y|Z=1;19;3,915;65;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;F;X|Y=1,Z=0;0;9,451;30;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;J;Z|X=0,Y=1;1;4,292;40;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;I;Z|X=0,Y=0;2;6,06;5;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;E;Y|X=0;3;7,14;50;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;D;Y|X=1;4;7,324;50;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;F;Y|X=1,Z=0;5;8,228;60;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;D;X|Y=1;6;6,467;50;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;B;Y|Z=1;7;4,532;50;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;C;Y|X=0,Z=1;8;6,259;85;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;H;X|Y=0,Z=0;9;6,364;35;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;A;Y|X=1,Z=1;10;6,372;90;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;A;X|Y=1,Z=1;11;4,955;70;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;H;Y|X=0,Z=0;12;7,556;35;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;C;X|Y=0,Z=1;13;7,428;50;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;G;X|Z=0;14;3,547;10;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;G;Y|Z=0;15;3,251;50;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;E;X|Y=0;16;3,98;40;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;K;Z|X=1,Y=1;17;3,372;100;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;B;X|Z=1;18;5,451;65;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
4;weather;a;ppp;J;Z|X=1,Y=0;19;3,796;30;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;F;Y|X=1,Z=0;0;11,147;60;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;E;Y|X=0;1;7,043;55;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;A;X|Y=1,Z=1;2;7,339;90;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;G;Y|Z=0;3;5,275;60;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;J;Z|X=0,Y=1;4;6,004;60;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;B;X|Z=1;5;6,963;85;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;C;X|Y=0,Z=1;6;5,499;100;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;E;X|Y=0;7;9,148;60;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;A;Y|X=1,Z=1;8;4,962;90;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;G;X|Z=0;9;5,875;65;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;J;Z|X=1,Y=0;10;7,212;75;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;H;Y|X=0,Z=0;11;9,86;50;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;F;X|Y=1,Z=0;12;7,363;50;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;I;Z|X=0,Y=0;13;8,859;65;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;B;Y|Z=1;14;5,795;85;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;D;X|Y=1;15;4,5;85;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;D;Y|X=1;16;4,06;65;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;H;X|Y=0,Z=0;17;5,995;55;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;C;Y|X=0,Z=1;18;4,747;90;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
10;society;a;ppp;K;Z|X=1,Y=1;19;5,643;100;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;H;X|Y=0,Z=0;0;33,155;0;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;K;Z|X=1,Y=1;1;7,539;100;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;G;Y|Z=0;2;22,596;15;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;E;X|Y=0;3;22,219;25;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;G;X|Z=0;4;19,811;50;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;B;Y|Z=1;5;4,396;50;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;F;X|Y=1,Z=0;6;16,923;0;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;D;Y|X=1;7;21,876;50;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;B;X|Z=1;8;11,339;100;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;C;Y|X=0,Z=1;9;11,019;100;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;F;Y|X=1,Z=0;10;10,868;0;CB|E=0,CA=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;C;X|Y=0,Z=1;11;12,179;100;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;E;Y|X=0;12;12,147;50;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;I;Z|X=0,Y=0;13;8,876;50;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;D;X|Y=1;14;10,124;75;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;A;Y|X=1,Z=1;15;15,523;75;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;H;Y|X=0,Z=0;16;24,419;0;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;A;X|Y=1,Z=1;17;2,508;50;CA|E=1,CB=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;J;Z|X=0,Y=1;18;7,779;70;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
13;economy;b;pmm;J;Z|X=1,Y=0;19;3,588;75;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;A;Y|X=1,Z=1;0;37,428;90;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;J;Z|X=0,Y=1;1;50,701;70;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;C;X|Y=0,Z=1;2;20,188;100;CA|E=1,CB=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;H;X|Y=0,Z=0;3;11,004;50;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;C;Y|X=0,Z=1;4;12,268;0;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;K;Z|X=1,Y=1;5;11,22;100;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;I;Z|X=0,Y=0;6;7,772;50;E|CA=0,CB=0;E|CA=0,CB=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;G;Y|Z=0;7;28,164;50;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;G;X|Z=0;8;10,788;50;CA|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;E;X|Y=0;9;21,092;50;CA|CB=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;F;X|Y=1,Z=0;10;23,516;25;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;B;Y|Z=1;11;21,14;85;CB|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;D;X|Y=1;12;47,173;10;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;H;Y|X=0,Z=0;13;21,852;50;CB|E=0,CA=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;B;X|Z=1;14;10,124;90;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
21;economy;a;mmp;J;Z|X=1,Y=0;15;13,74;95;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
